ID_Expediente,TipoPrestacion,TipoRecurso,TieneSentencia,CruceISSHistorico,ResultadoValIndicios,ResultadoValNomina,ResultadoValHL,TieneDocumentosAdicionales,ExisteRegistroEmbargo,RequiereRevisionHL,UltimoEmpleadorPublico,RecibePensionActual,TienePQRSPendiente,TieneRequerimientoExterno,EstadoRequerimientoInterno,TieneTiemposNoISS,EstadoVinculacionBEPS,AsignarBancoBEPS,ClasificacionModelo,ClasificacionEsperada,ResultadoValidacion
EXP-000033,Sobrevivientes,Ninguno,No,No,Si,No,No,No,No,No,No,Si,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000034,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000035,Vejez,Ninguno,No,No,No,No,No,No,Si,No,No,No,No,No,Cerrado,No,No aplica,Si,Mixto,Automatico,INCORRECTO
EXP-000036,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000037,Convenio Internacional,Apelacion,No,No,Si,No,No,Si,No,Si,Si,No,Si,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000038,Sustitucion,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000039,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000040,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000041,Vejez,Reposicion,Si,No,No,Si,Si,No,No,No,No,No,Si,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000042,Sustitucion,Ninguno,No,No,No,No,No,Si,No,No,Si,No,No,No,Cerrado,No,Prospecto,No,Mixto,Mixto,CORRECTO
EXP-000043,Sustitucion,Reposicion,No,No,No,Si,No,Si,No,Si,No,Si,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000044,Auxilio Funerario,Ninguno,No,No,No,No,No,No,Si,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000045,Vejez,Ninguno,No,No,No,No,No,No,No,Si,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000046,Sobrevivientes,Ninguno,No,No,Si,Si,No,Si,Si,Si,No,No,Si,Si,Abierto,No,Vinculado,No,Manual,Manual,CORRECTO
EXP-000047,Sobrevivientes,Ninguno,No,Si,Si,No,No,No,No,No,Si,Si,No,Si,Abierto,No,Vinculado,No,Manual,Manual,CORRECTO
EXP-000048,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000049,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000050,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000051,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000052,Sustitucion,Ninguno,No,No,No,No,No,No,No,Si,Si,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000053,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Automatico,INCORRECTO
EXP-000054,Auxilio Funerario,Ninguno,No,No,No,Si,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000055,Sustitucion,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,No,Abierto,No,Prospecto,Si,Mixto,Mixto,CORRECTO
EXP-000056,Auxilio Funerario,Ninguno,No,No,No,No,No,Si,No,No,No,No,Si,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000057,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000058,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000059,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000060,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000061,Invalidez Especial,Reposicion,No,Si,No,Si,No,No,Si,No,No,No,Si,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000062,Auxilio Funerario,Ninguno,No,Si,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,Si,Manual,Manual,CORRECTO
EXP-000063,Sustitucion,Ninguno,No,No,No,No,Si,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000064,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Mixto,INCORRECTO
EXP-000065,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,Si,No,No,No,Cerrado,No,No aplica,Si,Mixto,Mixto,CORRECTO
EXP-000066,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000067,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,Si,No,No,Si,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000068,Sustitucion,Ninguno,No,No,No,No,No,Si,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000069,Sustitucion,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000070,Sustitucion,Ninguno,No,No,No,No,No,Si,Si,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Automatico,INCORRECTO
EXP-000071,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000072,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000073,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000074,Auxilio Funerario,Ninguno,No,No,No,Si,No,No,Si,No,No,No,No,No,Abierto,No,No aplica,No,Mixto,Manual,INCORRECTO
EXP-000075,Sustitucion,Reposicion,No,No,No,Si,No,Si,Si,Si,No,No,Si,Si,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000076,Auxilio Funerario,Ninguno,No,Si,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000077,Sobrevivientes,Reposicion,No,No,Si,Si,Si,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000078,Sustitucion,Ninguno,No,No,No,No,No,No,Si,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000079,Sustitucion,Apelacion,No,No,No,No,No,No,No,No,No,No,No,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000080,Auxilio Funerario,Reposicion,No,No,No,No,No,No,Si,No,No,No,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000081,Vejez,Ninguno,No,No,Si,No,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000082,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000083,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000084,Auxilio Funerario,Ninguno,No,No,No,Si,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000085,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,Si,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000086,Sustitucion,Ninguno,No,No,No,No,No,Si,No,Si,No,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000087,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000088,Sobrevivientes,Ninguno,No,Si,No,Si,No,No,No,Si,No,No,No,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000089,Vejez,Ninguno,No,No,Si,No,No,No,No,No,No,No,Si,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000090,Auxilio Funerario,Ninguno,No,No,Si,No,Si,Si,No,Si,Si,No,No,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000091,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000092,Convenio Internacional,Apelacion,No,No,Si,Si,No,Si,No,No,No,Si,Si,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000093,Sustitucion,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000094,Vejez,Ninguno,No,No,Si,No,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000095,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,Si,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000096,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000097,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,Si,Automatico,Automatico,CORRECTO
EXP-000098,Vejez,Ninguno,No,No,Si,Si,No,No,No,No,Si,Si,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000099,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,Si,Automatico,Automatico,CORRECTO
EXP-000100,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,Si,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000101,Vejez,Ninguno,No,No,No,No,Si,No,No,No,Si,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000102,Vejez,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000103,Vejez,Ninguno,No,No,No,No,No,No,No,No,Si,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000104,Sustitucion,Ninguno,No,No,No,Si,Si,No,No,No,No,No,Si,No,Abierto,Si,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000105,Sustitucion,Ninguno,No,No,Si,No,Si,Si,No,No,No,No,No,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000106,Vejez,Ninguno,No,No,No,Si,No,Si,No,No,No,No,Si,Si,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000107,Vejez,Ninguno,No,No,Si,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000108,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,Si,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000109,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000110,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000111,Invalidez Especial,Apelacion,No,No,No,Si,No,Si,No,No,No,Si,No,Si,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000112,Sobrevivientes,Ninguno,No,Si,No,No,No,No,No,Si,No,No,No,Si,Abierto,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000113,Sustitucion,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000114,Invalidez Especial,Ninguno,No,No,Si,Si,No,Si,No,No,Si,No,Si,No,Cerrado,No,Vinculado,No,Manual,Manual,CORRECTO
EXP-000115,Sustitucion,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Cerrado,No,Vinculado,No,Mixto,Mixto,CORRECTO
EXP-000116,Sobrevivientes,Ninguno,No,No,Si,Si,Si,Si,Si,No,No,No,Si,Si,Cerrado,No,Prospecto,No,Manual,Manual,CORRECTO
EXP-000117,Auxilio Funerario,Reposicion,No,No,No,No,No,Si,No,No,No,No,Si,Si,Cerrado,No,No aplica,Si,Manual,Manual,CORRECTO
EXP-000118,Sobrevivientes,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Abierto,No,Prospecto,No,Manual,Manual,CORRECTO
EXP-000119,Sustitucion,Ninguno,No,No,No,No,No,Si,Si,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000120,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000121,Invalidez Especial,Apelacion,No,Si,Si,No,No,Si,No,No,No,Si,No,No,Cerrado,Si,No aplica,Si,Manual,Manual,CORRECTO
EXP-000122,Vejez,Apelacion,No,No,No,No,Si,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000123,Sobrevivientes,Reposicion,No,Si,No,No,No,No,No,No,No,No,Si,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000124,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000125,Auxilio Funerario,Ninguno,No,No,No,No,No,No,Si,No,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000126,Vejez,Ninguno,No,No,No,Si,No,No,No,Si,Si,No,No,Si,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000127,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000128,Invalidez Especial,Apelacion,Si,No,Si,No,No,Si,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000129,Sustitucion,Ninguno,Si,No,No,Si,No,No,No,No,No,Si,No,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000130,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000131,Sustitucion,Reposicion,No,No,Si,Si,Si,Si,No,Si,No,No,No,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000132,Invalidez Especial,Ninguno,No,No,No,Si,No,Si,Si,Si,No,No,Si,Si,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000133,Sobrevivientes,Apelacion,Si,No,Si,Si,No,Si,No,No,Si,No,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000134,Sustitucion,Ninguno,No,No,Si,No,No,Si,No,Si,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000135,Sustitucion,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000136,Vejez,Reposicion,No,Si,No,Si,Si,No,Si,No,Si,Si,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000137,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000138,Sustitucion,Ninguno,No,No,No,Si,No,No,No,No,No,No,No,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000139,Sobrevivientes,Apelacion,No,No,Si,No,No,Si,Si,No,No,No,No,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000140,Auxilio Funerario,Apelacion,No,No,No,Si,No,Si,Si,Si,No,No,Si,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000141,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000142,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000143,Sustitucion,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000144,Vejez,Reposicion,No,No,Si,Si,Si,No,No,Si,No,No,Si,No,Cerrado,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000145,Vejez,Ninguno,No,No,No,No,Si,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000146,Sobrevivientes,Apelacion,No,Si,No,No,Si,No,No,No,No,No,No,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000147,Auxilio Funerario,Ninguno,No,No,Si,Si,No,No,No,No,No,No,No,No,Cerrado,No,Vinculado,No,Mixto,Mixto,CORRECTO
EXP-000148,Sobrevivientes,Apelacion,No,No,No,Si,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000149,Convenio Internacional,Apelacion,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000150,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000151,Vejez,Ninguno,No,No,No,No,No,Si,No,No,No,No,No,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000152,Vejez,Ninguno,No,Si,Si,Si,No,No,No,No,No,No,No,No,Abierto,Si,No aplica,No,Manual,Manual,CORRECTO
EXP-000153,Auxilio Funerario,Reposicion,No,Si,Si,No,No,Si,No,No,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000154,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000155,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,Si,No,Si,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000156,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000157,Auxilio Funerario,Ninguno,No,No,No,No,Si,No,No,No,No,No,No,No,Cerrado,No,Prospecto,No,Automatico,Automatico,CORRECTO
EXP-000158,Auxilio Funerario,Ninguno,No,No,No,No,Si,No,No,No,No,No,No,No,Abierto,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000159,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,Si,Automatico,Automatico,CORRECTO
EXP-000160,Auxilio Funerario,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000161,Auxilio Funerario,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000162,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,Si,Automatico,Automatico,CORRECTO
EXP-000163,Invalidez Especial,Ninguno,No,No,No,Si,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000164,Auxilio Funerario,Apelacion,No,No,No,Si,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000165,Auxilio Funerario,Ninguno,No,No,No,No,No,No,Si,No,No,No,Si,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000166,Auxilio Funerario,Ninguno,No,No,No,Si,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000167,Sobrevivientes,Reposicion,Si,No,No,No,Si,No,No,No,No,No,Si,No,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000168,Sobrevivientes,Ninguno,Si,No,No,No,Si,Si,Si,Si,No,Si,Si,Si,Abierto,No,No aplica,No,Manual,Manual,CORRECTO
EXP-000169,Auxilio Funerario,Ninguno,No,No,No,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Automatico,Automatico,CORRECTO
EXP-000170,Sustitucion,Ninguno,Si,No,Si,No,No,Si,No,No,Si,No,Si,No,Cerrado,No,No aplica,No,Manual,Mixto,INCORRECTO
EXP-000171,Vejez,Ninguno,No,No,No,No,No,No,No,No,No,No,Si,No,Cerrado,No,No aplica,Si,Mixto,Mixto,CORRECTO
EXP-000172,Vejez,Ninguno,No,No,Si,No,No,No,No,No,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
EXP-000173,Auxilio Funerario,Ninguno,No,No,No,Si,No,No,No,Si,No,No,No,No,Cerrado,No,No aplica,No,Mixto,Mixto,CORRECTO
